GAME_ID,GAME_DATE,home_team,home_matchup,home_wl,home_pts,home_days_rest,home_is_b2b,home_travel_miles,home_fatigue_score,away_team,away_matchup,away_wl,away_pts,away_days_rest,away_is_b2b,away_travel_miles,away_fatigue_score,home_win,point_diff,rest_diff,travel_diff,fatigue_diff
0022300188,2023-11-13,Boston Celtics,BOS vs. NYK,W,114,1.0,0,0.0,0.0,New York Knicks,NYK @ BOS,L,98,0.0,1,188.44908969543397,2.251265452927245,1,16,1.0,-188.44908969543397,-2.251265452927245
0022300228,2023-11-22,Boston Celtics,BOS vs. MIL,W,119,1.0,0,721.0222451748938,0.961362993566525,Milwaukee Bucks,MIL @ BOS,L,116,1.0,0,394.0251346074482,0.5253668461432642,1,3,0.0,326.9971105674456,0.43599614742326076
0022300246,2023-11-26,Boston Celtics,BOS vs. ATL,W,113,1.0,0,1115.0038595752128,1.4866718127669505,Atlanta Hawks,ATL @ BOS,L,103,0.0,1,394.0251346074482,2.5253668461432643,1,10,1.0,720.9787249677646,-1.0386950333763139
0022300053,2023-11-28,Boston Celtics,BOS vs. CHI,W,124,1.0,0,0.0,0.0,Chicago Bulls,CHI @ BOS,L,97,1.0,0,190.57999704202606,0.25410666272270144,1,27,0.0,-190.57999704202606,-0.25410666272270144
0022300275,2023-12-01,Boston Celtics,BOS vs. PHI,W,125,2.0,0,0.0,0.0,Philadelphia 76ers,PHI @ BOS,L,119,1.0,0,1359.6964777672843,1.8129286370230457,1,6,1.0,-1359.6964777672843,-1.8129286370230457
0022301227,2023-12-08,Boston Celtics,BOS vs. NYK,W,133,3.0,0,807.3098990745785,1.0764131987661048,New York Knicks,NYK @ BOS,L,123,2.0,0,857.8997722782664,1.1438663630376884,1,10,1.0,-50.58987320368783,-0.06745316427158365
0022300305,2023-12-12,Boston Celtics,BOS vs. CLE,W,120,3.0,0,0.0,0.0,Cleveland Cavaliers,CLE @ BOS,L,113,0.0,1,1115.0038595752128,3.4866718127669505,1,7,3.0,-1115.0038595752128,-3.4866718127669505
0022300319,2023-12-14,Boston Celtics,BOS vs. CLE,W,116,1.0,0,0.0,0.0,Cleveland Cavaliers,CLE @ BOS,L,107,1.0,0,0.0,0.0,1,9,0.0,0.0,0.0
0022300329,2023-12-15,Boston Celtics,BOS vs. ORL,W,128,0.0,1,0.0,2.0,Orlando Magic,ORL @ BOS,L,111,3.0,0,1115.0038595752128,1.4866718127669505,1,17,-3.0,-1115.0038595752128,0.5133281872330495
0022300344,2023-12-17,Boston Celtics,BOS vs. ORL,W,114,1.0,0,0.0,0.0,Orlando Magic,ORL @ BOS,L,97,1.0,0,0.0,0.0,1,17,0.0,0.0,0.0
